Model,Acc,Recall,Precision,F1
kNN,0.926829268292683,1.0,0.8695652173913043,0.9302325581395349
LSVM,0.926829268292683,1.0,0.8695652173913043,0.9302325581395349
RBF SVM,0.926829268292683,1.0,0.8695652173913043,0.9302325581395349
XGBoost,0.926829268292683,1.0,0.8695652173913043,0.9302325581395349
Random Forest,0.926829268292683,1.0,0.8695652173913043,0.9302325581395349
MLP,0.9024390243902439,1.0,0.8333333333333334,0.9090909090909091
Naive Bayes,0.8048780487804879,0.85,0.7727272727272727,0.8095238095238095
